r1bqk2r/pp2ppbp/2n2np1/2pp4/2P5/2N2NPP/PP1PPPB1/R1BQK2R w KQkq - 0 7	d2d4	-35	22
rnbqr1k1/pp3pbp/3p1np1/2p5/2PNP3/2N1B3/PPQ1BPPP/R3K2R w KQ - 0 10	d4b3	38	22
r1bqk2r/pp2bppp/2n1pn2/2pp4/3P4/2P1P1B1/PP1N1PPP/R2QKBNR w KQkq - 2 7	g1f3	-2	22
r1bqkb1r/pp1n1ppp/2n1p3/2ppP3/3P1P2/8/PPP1N1PP/R1BQKBNR w KQkq - 2 7	c2c3	-3	22
r1bqkb1r/pp3ppp/2n1pn2/3p4/3p1B2/2P1P3/PP1NBPPP/R2QK1NR w KQkq - 0 7	e3d4	29	22
rnbq1rk1/ppp2ppp/3b4/3p4/3Pn3/2P2N1P/PP2BPP1/RNBQK2R w KQ - 3 9	e1g1	-7	22
rn1q1rk1/pbppbppp/1p2pn2/8/2PP1B2/5NP1/PP2PPBP/RN1QK2R w KQ - 5 7	b1c3	27	22
r2q1rk1/2p1bppp/p1np1n2/1p2p3/4P1b1/PB1P1N2/1PP2PPP/RNBQR1K1 w - - 1 10	c2c3	31	22
r2q1rk1/2pbbppp/p1np1n2/1p2p3/P3P3/1BP2N2/1P1P1PPP/RNBQR1K1 w - - 1 10	d2d4	31	22
r1bq1rk1/pp1n1ppp/2pbpn2/3p4/P1PP4/2N1PN2/1P2BPPP/R1BQK2R w KQ - 3 8	e1g1	14	22
1rbqk2r/pp2ppbp/2np1np1/2p5/3PP3/2N2NP1/PPP2PBP/R1BQ1RK1 b k - 0 8	c5d4	13	22
1rbqkb1r/5ppp/p1np1n2/1p1Np1B1/4P3/N7/PPP2PPP/R2QKB1R b KQk - 1 10	f8e7	8	22
1rbqk2r/4bppp/p1np1n2/1p1Np1B1/4P3/N7/PPP2PPP/R2QKB1R w KQk - 2 11	g5f6	-9	22
rn1qkb1r/1p3ppp/p2pbn2/4p3/4P3/1NN1B3/PPP2PPP/R2QKB1R w KQkq - 2 8	d1d2	36	22
r1bqk2r/1pp2ppp/1bnp1n2/pP2p3/P1B1P3/2PP1N2/5PPP/RNBQK2R b KQkq - 0 8	c6e7	-12	22
r1bqk2r/1pp1nppp/1b1p1n2/pP2p3/P1B1P3/2PP1N2/5PPP/RNBQK2R w KQkq - 1 9	e1g1	15	22
r1bqk2r/pp1pppbp/2n2np1/2p5/2P5/2NP1NP1/PP2PPBP/R1BQK2R b KQkq - 0 6	d7d5	-4	22
r1bq1rk1/pp2ppbp/2np1np1/2p5/2P4P/2NP1NP1/PP2PPB1/1RBQK2R b K - 1 8	a8b8	13	22
rnbqkb1r/pp3ppp/5n2/2pp4/3P4/8/PPPNBPPP/R1BQK1NR w KQkq - 2 6	g1f3	1	22
rnbqkbnr/pp3ppp/8/2pp4/P2P4/8/1PPN1PPP/R1BQKBNR b KQkq - 0 5	c5c4	15	22
r1bq1rk1/2p1bppp/p2p1n2/np2p3/4P3/1BNP1N1P/PPP2PP1/R1BQR1K1 b - - 0 10	f8e8	17	22
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/2PP4/2N1PN1P/PP3PP1/R1BQKB1R b KQkq - 0 6	f8d6	-1	22
r1bq1rk1/pp3ppp/2nbpn2/1Bpp4/3P1B2/2P1P2N/PP1N1PPP/R2QK2R w KQ - 4 8	d2f3	-25	22
1rbqk2r/pp2ppbp/2np1np1/2p5/P3P3/2NP1NP1/1PP2PBP/R1BQ1RK1 b k - 0 8	e8g8	7	22
r1bq1rk1/pp2ppbp/2np1np1/2p5/4P2P/2NP2P1/PPP1NPB1/R1BQK2R w KQ - 3 8	a2a4	-21	22
r1bqk2r/pp2ppbp/2np1np1/2p5/4P2P/2NP2P1/PPP2PB1/R1BQK1NR w KQkq - 1 7	g1e2	-22	22
rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N1B3/PPP2PPP/R2QKB1R b KQkq - 1 6	e7e5	-28	22
r1bq1rk1/pp3pbp/2np1np1/2p1p3/2P4P/2NP1NP1/PP2PPB1/1RBQK2R w K - 0 9	a2a3	18	22
r1bq1rk1/pp1pppbp/2n2np1/2p5/2P5/2NP1NP1/PP2PPBP/R1BQK2R w KQ - 1 7	e1g1	11	22
rnbqkb1r/pp3ppp/5n2/2pp4/3P4/5N2/PPPNBPPP/R1BQK2R b KQkq - 3 6	f8e7	6	22
