rnbq1rk1/pp2bppp/2p1pn2/3p4/2PP4/5NP1/PPQ1PPBP/RNB2RK1 b - - 1 7	d5c4,b7b6,b8d7,h7h6,a7a5,f8e8,f6e4,b8a6,d8b6,a7a6,f6e8,d8e8,g8h8,c6c5,d8c7,b7b5
r1bq1rk1/pp1n1ppp/2pbpn2/3p4/2PP4/1PN1PN2/P3BPPP/R1BQ1RK1 b - - 0 8	b7b6,f8e8,e6e5,h7h6,d8e7,a7a6,d8c7,f6e4,a8b8,d6e7,d6b4,a7a5,d5c4,d8a5,d6b8,d8e8
r1bq1rk1/ppp2pbp/2np1np1/P2Pp3/4P3/2N2N2/1PP1BPPP/R1BQK2R b KQ - 0 8	c6e7,c6b4,c6d4,c6b8,f6e4,d8e7,g8h8,a8b8,f6e8,c6a5,f6d7,h7h6,f8e8,f6h5,c8d7,f6g4
r1bqk1nr/pp1p1ppp/1bn1p3/8/4P3/PNN5/1PP2PPP/R1BQKB1R b KQkq - 4 7	g8f6,g8e7,a7a6,d7d6,a7a5,d8f6,h7h6,b6c7,d8e7,e6e5,d7d5,d8h4,c6a5,h7h5,c6e7,a8b8
r1bqk2r/1p2ppbp/p1np1np1/2p5/P3P3/2NPB1P1/1PP1NPBP/R2QK2R b KQkq - 1 8	a8b8,e8g8,e7e5,f6g4,d8c7,c8d7,b7b6,e7e6,f6d7,h7h6,c8g4,c8e6,h7h5,a8a7,f6h5,c6a5
r1bqkb1r/pp2pppp/2n2n2/3p4/3P1B2/2PB4/PP3PPP/RN1QK1NR b KQkq - 2 6	c8g4,d8b6,a7a6,e7e6,g7g6,c8d7,c8e6,h7h6,h7h5,f6e4,f6d7,d8a5,f6g8,d8d7,a7a5,f6g4
r2qkb1r/pp2pppp/2n2n2/3p4/3P1Bb1/2PB4/PP3PPP/RN1QK1NR w KQkq - 3 7	d1b3,g1f3,d1c2,g1e2,d3e2,d1d2,d1a4,d1c1,f2f3,f4c7,d1g4,d1f3,b1a3,b1d2,d1e2,d3c2
r1bqk2r/pp1pnppp/1bn1p3/8/4P3/PNN5/1PP2PPP/R1BQKB1R w KQkq - 5 8	c1g5,d1e2,d1h5,c3a4,c1f4,d1f3,d1d6,f1d3,f1b5,g2g3,f1c4,f1e2,a3a4,c1d2,d1d3,c1e3
r1bqk1nr/pp3pbp/2np2p1/2p1p3/4P3/2NPB1P1/PPP2PBP/R2QK1NR w KQkq - 0 7	h2h4,c3d5,d1d2,a2a4,g1e2,f2f4,g1f3,a1b1,g1h3,d1c1,a2a3,a1c1,h2h3,e3d2,e3c1,f2f3
r1bq1rk1/ppp1npbp/3p1np1/P2Pp3/4P3/2N2N2/1PP1BPPP/R1BQK2R w KQ - 1 9	c1g5,e1g1,a1a3,h2h3,h2h4,f3d2,e2c4,a1a2,a5a6,a1a4,b2b3,c1e3,c1d2,e2d3,d1d3,g2g3
rn1qkbnr/pp3ppp/2p1p1b1/8/3P4/4B1N1/PPP2PPP/R2QKBNR w KQkq - 0 7	h2h4,g1f3,f1d3,d1d2,c2c3,f1e2,f1c4,a2a4,a2a3,g1e2,g1h3,d1c1,a1c1,h2h3,d1e2,e3c1
